Stock Index,Stock Price
AC3235,805.2358780900774
AC3236,251.98084103437634
AC3237,1561.0729557954721
AC3238,817.609606446663
AC3239,270.98421336842335
AC3240,361.7432972717963
AC3241,719.5970556627319
AC3242,882.6200701048973
AC3243,908.9567112420706
AC3244,1332.9816047315203
AC3245,304.1670818316818
AC3246,410.56193347223234
AC3247,785.4320498571444
AC3248,149.3601019367933
AC3249,133.56405036996196
AC3250,251.048849365572
AC3251,1811.0621269681358
AC3252,132.3560411710725
AC3253,292.8482545165623
AC3254,205.75641830292713
AC3255,998.9710242472426
AC3256,867.661577790833
AC3257,1488.5484226192918
AC3258,492.3583875121848
AC3259,270.11234919748915
AC3260,305.2883352129464
AC3261,113.46564465126168
AC3262,246.2096436350213
AC3263,378.95133189759537
AC3264,116.9910429202914
AC3265,1151.2969159467186
AC3266,873.1813540173815
AC3267,530.2954391566337
AC3268,765.772234669441
AC3269,401.50787556612363
AC3270,830.3624591330769
AC3271,82.4460243772449
AC3272,421.98596822668276
AC3273,852.0515150227017
AC3274,678.1078028763881
AC3275,578.3223244337167
AC3276,655.6176794423941
AC3277,918.3269599229077
AC3278,877.7803384460778
AC3279,190.3038100891203
AC3280,411.57018352660253
AC3281,907.0042317132051
AC3282,128.6244101732654
AC3283,805.7910066688893
AC3284,791.6104666200043
AC3285,103.78282783570852
AC3286,870.7675291355005
AC3287,196.03046689665868
AC3288,181.67303581854992
AC3289,155.79598062710605
AC3290,189.1749688105116
AC3291,188.30786136579562
AC3292,87.74594374013543
AC3293,490.4420689422184
AC3294,185.6722033437036
AC3295,555.035264175131
AC3296,97.47554668695368
AC3297,608.5161697574007
AC3298,798.2174388352277
AC3299,101.45083424878894
AC3300,85.84676743887832
AC3301,828.5008997265608
AC3302,130.04479376781427
AC3303,1257.205365341487
AC3304,35.31535101081432
AC3305,266.64963882906324
AC3306,160.7516701547171
AC3307,31.373910012580883
AC3308,128.80347447131138
AC3309,262.88375627248143
AC3310,806.4178411785371
AC3311,1098.5546407263869
AC3312,873.5159945363863
AC3313,31.320806194850366
AC3314,77.68236917330223
AC3315,118.6720600908132
AC3316,406.4087065139731
AC3317,986.2249372522466
AC3318,547.8948455312083
AC3319,1201.1106856380957
AC3320,26.065048567658355
AC3321,101.80691179483472
AC3322,92.61004164706607
AC3323,881.2192133210528
AC3324,81.68594534088997
AC3325,259.5655881562657
AC3326,388.9764087199825
AC3327,84.02874423640438
AC3328,88.45418412896775
AC3329,706.301054113027
AC3330,899.1392895754809
AC3331,236.0196433208527
AC3332,773.9622363398809
AC3333,1442.4038528853512
AC3334,305.98509082831674
AC3335,624.8848295738711
AC3336,141.84684985986692
AC3337,624.0121757724016
AC3338,1739.9974727275203
AC3339,815.5174602456428
AC3340,77.96377304677381
AC3341,1230.9330622897658
AC3342,1208.2519017665732
AC3343,279.515864605869
AC3344,97.33591445279109
AC3345,213.76815601861307
AC3346,83.28177738950566
AC3347,291.070643652906
AC3348,662.9872378053115
AC3349,498.3949198104032
AC3350,116.29174593468389
AC3351,768.7146754652018
AC3352,54.22491005234169
AC3353,387.9219236989473
AC3354,259.1379482257756
AC3355,616.4829827527915
AC3356,229.84636396826798
AC3357,634.6836444690017
AC3358,1602.1681910319835
AC3359,1315.213551436679
AC3360,1177.334673701922
AC3361,231.67020824125228
AC3362,358.65604631167787
AC3363,485.80713818379695
AC3364,396.80223622397386
AC3365,100.65745086614216
AC3366,348.68199191151126
AC3367,253.79769571523724
AC3368,808.6103189550205
AC3369,302.6858079901964
AC3370,571.323194408866
AC3371,383.8835482764661
AC3372,472.9916170537918
AC3373,254.68808639157965
AC3374,344.27069212120705
AC3375,1080.2476208825167
AC3376,439.5628446047009
AC3377,191.7261202573092
AC3378,376.6607100543265
AC3379,623.4866597220307
AC3380,150.4726277565415
AC3381,408.8047219123431
AC3382,590.7588538769323
AC3383,144.18024483727274
AC3384,232.9257453533646
AC3385,245.51792850690708
AC3386,111.65451610916402
AC3387,279.21347846009155
AC3388,1644.514336166731
AC3389,258.5644314443271
AC3390,249.02391875911024
AC3391,826.1309616250913
AC3392,631.4032366085972
AC3393,449.345501944637
AC3394,514.00581798296
AC3395,1465.240051069084
AC3396,51.33898614654738
AC3397,679.1543040275815
AC3398,418.5087482998255
AC3399,68.68733088397997
AC3400,179.94772200989703
AC3401,131.5238572710715
AC3402,472.93120420988663
AC3403,288.0648405003317
AC3404,85.02473879620226
AC3405,113.82746807103666
AC3406,286.5012035151926
AC3407,168.3819258992657
AC3408,695.9928965839
AC3409,1226.1846740263934
AC3410,946.8439673896564
AC3411,996.1241542042227
AC3412,1518.9678928469834
AC3413,174.62630439582597
AC3414,320.1711961519696
AC3415,209.95476728328177
AC3416,550.649326642205
AC3417,871.1496773514475
AC3418,151.0982699399901
AC3419,1346.937941862814
AC3420,204.14646923426437
AC3421,214.54122544425272
AC3422,846.9163291007621
AC3423,100.51668587272077
AC3424,1166.1649322580174
AC3425,225.8433673730995
AC3426,77.42582447741452
AC3427,367.92611994269623
AC3428,755.8216687018698
AC3429,756.2652425366729
AC3430,333.6751770276203
AC3431,484.5713247746766
AC3432,508.7332296768283
AC3433,201.37260273237652
AC3434,850.2898363619504
AC3435,1105.0172282976757
AC3436,437.8028667485927
AC3437,129.86098629159605
AC3438,1519.1425848284716
AC3439,168.27496903062044
AC3440,1258.6852985609728
AC3441,425.7868865613742
AC3442,42.467052649527986
AC3443,622.407905102607
AC3444,161.39873221220606
AC3445,124.2134257055804
AC3446,759.3138305163028
AC3447,917.6017545531523
AC3448,144.26145793117507
AC3449,1119.9220611132218
AC3450,208.78349159646743
AC3451,1059.5361960289315
AC3452,725.3263485268719
AC3453,643.3556214560307
AC3454,70.29136505330538
AC3455,766.7839691643146
AC3456,164.81742210148815
AC3457,618.3476676542641
AC3458,730.7699040688265
AC3459,1791.442599104021
AC3460,518.2187028448208
AC3461,596.5345386152393
AC3462,479.07974637520715
AC3463,1267.7172808552505
AC3464,267.66905951935314
AC3465,612.5365822042302
AC3466,159.08695546161542
AC3467,155.496362060727
AC3468,1390.2724100737876
AC3469,284.3917587368655
AC3470,360.07522295989247
AC3471,678.2756811663328
AC3472,228.4190467324979
AC3473,422.19822500698234
AC3474,428.24500684683716
AC3475,91.80111888778559
AC3476,542.4900726011242
AC3477,912.617514383116
AC3478,123.28018321740623
AC3479,209.5079468056532
AC3480,145.68646133178436
AC3481,1121.9238235874132
AC3482,393.39970684438043
AC3483,1016.7297549099831
AC3484,933.5118872954696
AC3485,791.0791318545873
AC3486,106.39837916061941
AC3487,228.14031498054374
AC3488,1728.209539055049
AC3489,813.286224387844
AC3490,1576.724176950611
AC3491,244.38570537116524
AC3492,986.3794872451057
AC3493,73.18890276875449
AC3494,1027.8283412225119
AC3495,135.82274661865137
AC3496,1311.250422266664
AC3497,416.24344011235036
AC3498,55.857716665661094
AC3499,373.9295966748544
AC3500,104.17108572778574
AC3501,255.9492139179585
AC3502,253.66980722544528
AC3503,302.89269088699797
AC3504,1124.3311069121373
AC3505,1141.396471928266
AC3506,452.38913264190467
AC3507,854.4774078074563
AC3508,923.4362406169206
AC3509,378.3648080252044
AC3510,1233.1463605920499
AC3511,1008.4928120385234
AC3512,986.2886174999757
AC3513,556.823239228666
AC3514,176.06506576233755
AC3515,912.6985793301365
AC3516,549.1275287898499
AC3517,491.9687642700101
AC3518,572.5315897106185
AC3519,979.8586262297044
AC3520,1766.0774255992294
AC3521,739.8484837664743
AC3522,1215.7390219275405
AC3523,1010.5636221820681
AC3524,1172.0773170094326
AC3525,789.5668689230137
AC3526,446.8539086806637
AC3527,87.54861050956279
AC3528,84.94037417479043
AC3529,996.443540781792
AC3530,522.0564846613729
AC3531,591.8978865489704
AC3532,805.0542704471533
AC3533,530.4127529902986
AC3534,789.5237711972669
AC3535,911.6662345441208
AC3536,240.28180731297869
AC3537,130.75514082859326
AC3538,844.009593642454
AC3539,1239.556145832793
AC3540,361.78712592885904
AC3541,512.493683702851
AC3542,310.74337103063925
AC3543,1075.6990785148173
AC3544,423.4364628301873
AC3545,477.5957461591112
AC3546,631.6595115549362
AC3547,603.4425037651907
AC3548,87.43810600433586
AC3549,1624.170507556929
AC3550,812.0709715690458
AC3551,649.6565956521858
AC3552,328.47605149387704
AC3553,899.5900198044519
AC3554,290.1552147695946
AC3555,211.1962698767567
AC3556,1047.6574210228341
AC3557,634.4384382532003
AC3558,1278.3022989725584
AC3559,532.1395322370022
AC3560,160.82087158057914
AC3561,184.96182901515894
AC3562,790.446790523072
AC3563,1088.5494706760282
AC3564,1486.8044992568603
AC3565,707.7472558465307
AC3566,299.0916099855787
AC3567,208.97405491407338
AC3568,143.41130339404998
AC3569,334.7227866068024
AC3570,774.3521326499017
AC3571,612.018536107184
AC3572,472.47130386672166
AC3573,1288.963741154133
AC3574,664.9181566582113
AC3575,166.6855600334961
AC3576,572.5490345015769
AC3577,1690.0866983251478
AC3578,87.9136675842506
AC3579,1486.0331797626534
AC3580,121.81698306698323
AC3581,92.68523896364593
AC3582,245.8786113348547
AC3583,701.9978804992746
AC3584,184.69772044929246
AC3585,106.0086828317411
AC3586,415.29384150268584
AC3587,26.517524047050184
AC3588,217.2316963263338
AC3589,160.18300551182665
AC3590,288.74208992588325
AC3591,348.6267029722434
AC3592,287.3531412711241
AC3593,65.61288836065856
AC3594,129.61333637906912
AC3595,380.9298029550744
AC3596,767.3300806127206
AC3597,85.9814018962266
AC3598,212.225858444341
AC3599,1197.4317060740004
AC3600,1273.504509919962
AC3601,972.3465607589745
AC3602,765.5228720383976
AC3603,1680.8532793253696
AC3604,291.18292293535114
AC3605,786.4800794181363
AC3606,1207.7869386166633
AC3607,37.62691727181031
AC3608,1047.6532860222383
AC3609,503.72224580312616
AC3610,200.68169946660407
AC3611,776.1024996754923
AC3612,104.04607508186974
AC3613,1230.8917169805377
AC3614,465.7088134768295
AC3615,443.7240552774509
AC3616,292.29444100593844
AC3617,1282.5473356815771
AC3618,110.77967464886123
AC3619,247.988868844281
AC3620,237.48589442555155
AC3621,821.691064915742
AC3622,286.42892099374444
AC3623,318.16543175558115
AC3624,716.0025276816734
AC3625,246.80717723285164
AC3626,94.02593677959301
AC3627,655.0477012632804
AC3628,57.944848881479054
AC3629,63.45928102326856
AC3630,594.2095990082887
AC3631,48.70354781705663
AC3632,166.0746299694533
AC3633,283.4900906636073
AC3634,1428.9864642424625
AC3635,281.20003567625554
AC3636,1193.2204992028196
AC3637,353.49320330111203
AC3638,1001.6333739101434
AC3639,203.92353537497132
AC3640,903.222102706078
AC3641,542.4689380074693
AC3642,115.9024087361428
AC3643,611.8889323861814
AC3644,740.6227978728499
AC3645,1137.4716511566114
AC3646,691.7044334956717
AC3647,374.1031611411694
AC3648,224.28466316601663
AC3649,397.83964103488745
AC3650,664.7445907156449
AC3651,1336.1427812354304
AC3652,358.3582206119327
AC3653,585.6253111182715
AC3654,1216.7591886445941
AC3655,376.8028635027842
AC3656,358.2209820829014
AC3657,920.1420827688002
AC3658,877.2194538766832
AC3659,527.4027121223882
AC3660,133.3250328660456
AC3661,138.7842402155375
AC3662,301.9355809776825
AC3663,768.5785959927961
AC3664,429.2414308508676
AC3665,852.4133703010758
AC3666,463.26349242579323
AC3667,628.7402378958308
AC3668,1286.7493375510494
AC3669,1184.5572413607604
AC3670,421.4541320535585
AC3671,94.77274717112653
AC3672,357.2012552693021
AC3673,973.4960816025746
AC3674,903.737864386693
AC3675,597.4685147598871
AC3676,1360.8731719585467
AC3677,1073.4235563758673
AC3678,1235.9543848119565
AC3679,414.0673371396646
AC3680,656.2467351896717
AC3681,582.7382655127021
AC3682,253.8784376790532
AC3683,541.4299042996097
AC3684,456.06063647303904
AC3685,144.74864348889383
AC3686,274.06197524467575
AC3687,806.7516235879312
AC3688,224.92189119656095
AC3689,782.9227452142767
AC3690,656.1902029026932
AC3691,490.4817676768495
AC3692,184.74586741496208
AC3693,155.81237642415277
AC3694,238.4734072800712
AC3695,218.4913585966419
AC3696,104.76650639126588
AC3697,330.6800329495196
AC3698,148.94651119028512
AC3699,127.61432805028264
AC3700,1156.1605062051556
AC3701,247.43905488077823
AC3702,436.61721757044353
AC3703,188.90577834407924
AC3704,278.4724044975486
AC3705,683.7254463917926
